AU01_r	AU02_r	AU04_r	AU05_r	AU06_r	AU07_r	AU09_r	AU10_r	AU12_r	AU14_r	AU15_r	AU17_r	AU20_r	AU23_r	AU25_r	AU26_r	AU45_r	AU01_c	AU02_c	AU04_c	AU05_c	AU06_c	AU07_c	AU09_c	AU10_c	AU12_c	AU14_c	AU15_c	AU17_c	AU20_c	AU23_c	AU25_c	AU26_c	AU28_c	AU45_c
0.9	0.0	1.24	0.0	0.49	1.29	0.12	2.05	0.56	0.69	0.0	0.0	0.28	0.0	1.0	0.11	2.8	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.75	0.0	1.5	0.0	0.61	1.89	0.21	2.05	0.45	0.8	0.0	0.1	0.09	0.0	1.06	0.09	1.62	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.54	0.0	1.54	0.0	0.62	2.21	0.22	2.02	0.41	0.86	0.0	0.11	0.0	0.0	1.13	0.11	0.69	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.43	0.0	1.42	0.0	0.56	2.17	0.13	1.93	0.4	0.86	0.0	0.07	0.0	0.0	1.09	0.13	0.18	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.32	0.0	1.37	0.03	0.5	2.18	0.1	1.78	0.39	0.85	0.01	0.02	0.0	0.0	1.12	0.15	0.01	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.36	0.0	1.42	0.03	0.5	2.23	0.07	1.68	0.38	0.89	0.03	0.01	0.0	0.0	1.04	0.18	0.01	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.32	0.0	1.45	0.03	0.46	2.25	0.04	1.67	0.37	0.94	0.08	0.0	0.0	0.0	1.04	0.18	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.35	0.01	1.49	0.0	0.38	2.18	0.04	1.67	0.38	0.94	0.11	0.07	0.0	0.0	0.85	0.16	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.35	0.01	1.48	0.0	0.31	2.03	0.02	1.73	0.36	0.85	0.1	0.09	0.02	0.0	0.73	0.11	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.42	0.01	1.55	0.0	0.29	1.95	0.04	1.79	0.37	0.76	0.08	0.12	0.02	0.0	0.72	0.09	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.43	0.0	1.5	0.0	0.29	1.95	0.05	1.79	0.32	0.69	0.06	0.05	0.02	0.0	0.79	0.1	0.01	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.39	0.02	1.48	0.06	0.3	2.04	0.08	1.71	0.29	0.66	0.09	0.08	0.0	0.0	0.72	0.07	0.06	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.3	0.02	1.38	0.06	0.36	2.08	0.11	1.66	0.3	0.64	0.15	0.11	0.0	0.02	0.54	0.03	0.06	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.05	1.35	0.07	0.41	2.02	0.12	1.73	0.33	0.69	0.16	0.17	0.0	0.03	0.48	0.0	0.11	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.28	0.13	1.27	0.01	0.48	1.81	0.13	1.74	0.32	0.76	0.13	0.23	0.0	0.07	0.53	0.03	0.06	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.33	0.22	1.25	0.01	0.47	1.86	0.11	1.67	0.28	0.71	0.04	0.25	0.0	0.08	0.5	0.03	0.15	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.38	0.26	1.25	0.0	0.47	1.9	0.13	1.58	0.24	0.73	0.0	0.27	0.02	0.09	0.52	0.05	0.1	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.43	0.33	1.24	0.0	0.45	2.12	0.11	1.6	0.25	0.7	0.0	0.16	0.08	0.07	0.72	0.1	0.1	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.45	0.3	1.19	0.0	0.44	2.16	0.07	1.64	0.23	0.69	0.0	0.13	0.08	0.09	0.88	0.17	0.01	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.49	0.29	1.23	0.0	0.47	2.25	0.02	1.69	0.25	0.65	0.0	0.07	0.05	0.06	0.83	0.19	0.1	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.56	0.15	1.24	0.0	0.46	2.39	0.03	1.7	0.22	0.65	0.0	0.17	0.0	0.04	0.69	0.21	0.36	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.71	0.19	1.27	0.01	0.46	2.33	0.05	1.62	0.24	0.74	0.0	0.15	0.02	0.0	0.62	0.18	0.62	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.74	0.13	1.26	0.03	0.4	2.31	0.03	1.59	0.25	0.8	0.09	0.19	0.02	0.0	0.49	0.17	0.53	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.71	0.11	1.41	0.05	0.35	2.35	0.02	1.55	0.27	0.79	0.11	0.18	0.02	0.0	0.33	0.18	0.28	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.62	0.01	1.48	0.05	0.29	2.39	0.0	1.59	0.32	0.78	0.12	0.23	0.06	0.0	0.21	0.14	0.02	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.49	0.0	1.52	0.04	0.22	2.35	0.0	1.57	0.34	0.71	0.1	0.22	0.06	0.0	0.16	0.11	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.36	0.0	1.41	0.02	0.17	2.15	0.0	1.56	0.37	0.66	0.17	0.14	0.14	0.0	0.07	0.01	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17	0.0	1.42	0.02	0.2	2.14	0.0	1.56	0.41	0.59	0.22	0.12	0.08	0.0	0.01	0.02	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.15	0.0	1.43	0.01	0.2	2.08	0.0	1.51	0.4	0.57	0.19	0.16	0.08	0.0	0.04	0.11	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.11	0.0	1.56	0.0	0.22	2.14	0.0	1.46	0.4	0.59	0.13	0.25	0.0	0.0	0.31	0.36	0.02	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.15	0.0	1.55	0.0	0.14	2.28	0.0	1.44	0.35	0.49	0.13	0.25	0.0	0.0	0.66	0.64	0.02	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
