AU01_r	AU02_r	AU04_r	AU05_r	AU06_r	AU07_r	AU09_r	AU10_r	AU12_r	AU14_r	AU15_r	AU17_r	AU20_r	AU23_r	AU25_r	AU26_r	AU45_r	AU01_c	AU02_c	AU04_c	AU05_c	AU06_c	AU07_c	AU09_c	AU10_c	AU12_c	AU14_c	AU15_c	AU17_c	AU20_c	AU23_c	AU25_c	AU26_c	AU28_c	AU45_c
0.11	0.0	2.38	0.0	1.75	2.89	0.0	3.32	1.37	1.37	0.0	0.0	0.0	0.0	1.16	0.5	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.1	0.0	2.42	0.0	1.81	3.09	0.0	3.36	1.45	1.48	0.0	0.0	0.0	0.0	1.05	0.27	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.06	0.0	2.5	0.0	1.87	3.21	0.0	3.41	1.53	1.6	0.0	0.0	0.0	0.0	1.03	0.21	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.0	0.0	2.5	0.0	1.91	3.32	0.0	3.44	1.6	1.71	0.0	0.0	0.0	0.0	1.03	0.18	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.0	0.0	2.55	0.0	1.9	3.42	0.0	3.42	1.6	1.74	0.0	0.03	0.0	0.0	0.89	0.23	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.04	0.0	2.44	0.02	1.89	3.54	0.0	3.37	1.58	1.7	0.0	0.03	0.0	0.0	0.78	0.17	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.04	0.0	2.32	0.02	1.84	3.56	0.0	3.31	1.59	1.66	0.0	0.03	0.0	0.0	0.69	0.2	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.04	0.0	2.19	0.02	1.81	3.58	0.0	3.26	1.66	1.63	0.0	0.03	0.0	0.0	0.67	0.24	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.17	0.0	1.76	3.47	0.0	3.18	1.7	1.67	0.0	0.03	0.0	0.0	0.65	0.31	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.24	0.0	1.76	3.51	0.0	3.09	1.68	1.59	0.0	0.06	0.0	0.04	0.6	0.23	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.21	0.0	1.8	3.58	0.0	3.03	1.63	1.63	0.0	0.03	0.0	0.06	0.48	0.13	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.18	0.0	1.8	3.63	0.0	3.04	1.63	1.61	0.0	0.06	0.0	0.08	0.34	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.19	0.0	1.81	3.66	0.0	2.99	1.6	1.78	0.0	0.09	0.0	0.04	0.33	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.23	0.0	1.81	3.71	0.0	3.03	1.56	1.86	0.0	0.1	0.0	0.02	0.31	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.31	0.0	1.85	3.83	0.0	3.0	1.47	1.91	0.0	0.09	0.0	0.04	0.22	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.37	0.0	1.81	3.82	0.0	2.98	1.4	1.9	0.0	0.07	0.01	0.1	0.08	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.5	0.0	1.77	3.81	0.0	2.9	1.36	1.89	0.0	0.07	0.01	0.14	0.01	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.54	0.0	1.73	3.83	0.0	2.72	1.32	1.9	0.0	0.05	0.06	0.17	0.01	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.52	0.0	1.74	3.88	0.0	2.63	1.29	1.87	0.04	0.08	0.05	0.17	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	2.52	0.0	1.74	3.96	0.0	2.52	1.24	1.83	0.12	0.23	0.05	0.18	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.03	0.0	2.54	0.0	1.76	3.94	0.0	2.55	1.22	1.76	0.12	0.32	0.0	0.13	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.08	0.0	2.68	0.0	1.78	3.97	0.0	2.51	1.19	1.62	0.1	0.34	0.05	0.07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.15	0.0	2.81	0.0	1.84	4.11	0.0	2.56	1.22	1.52	0.01	0.22	0.05	0.07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.32	0.0	3.03	0.0	1.94	4.47	0.0	2.71	1.36	1.59	0.01	0.2	0.06	0.11	0.0	0.0	0.19	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.47	0.0	3.19	0.0	2.06	4.49	0.0	2.95	1.55	1.73	0.0	0.11	0.03	0.18	0.2	0.0	0.42	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.54	0.0	3.49	0.05	2.18	4.2	0.0	3.12	1.75	1.96	0.0	0.06	0.02	0.17	0.46	0.0	0.79	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.5	0.0	3.8	0.17	2.29	3.77	0.1	3.24	1.86	2.06	0.0	0.0	0.04	0.13	0.8	0.0	0.94	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.45	0.0	4.02	0.18	2.48	3.74	0.25	3.34	1.96	2.22	0.0	0.0	0.1	0.08	1.14	0.0	1.17	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.38	0.0	4.05	0.2	2.65	3.88	0.4	3.39	2.02	2.25	0.0	0.02	0.23	0.12	1.4	0.0	1.19	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
